"id","sentiment","subjectivity","article_id","topic","keywords"
28759,-0.016,0.320,6132,1,"Ahmadi;strike;drone;killed;family;home;Kabul;August;car;Times"
28760,0.096,0.419,6133,2,"terrorism;white;terrorists;Trump;American;Republican;terrorist;Republicans;true;people"
28761,0.042,0.419,6134,3,"water;Iraq;Turkey;rivers;Syria;drought;people;Refugee;Council;crisis"
28762,0.034,0.336,6135,2,"data;user;requests;Kong;Hong;Google;government;information;last;law"
28763,0.087,0.438,6136,0,"per;cent;vaccine;jabs;virus;people;booster;Covid;doses;pandemic"
28764,0.042,0.194,6137,0,"children;vaccine;younger;smaller;make;doses;company;cleared;authorities;Tureci"
28765,0.125,0.142,6138,0,"studying;schools;parts;number;many;hours;devoted;cut;back;Public"
28766,0.083,0.317,6139,2,"understood;taken;steps;serve;questions;prince;personally;particular;papers;may"
28767,0.012,0.380,6140,2,"Afghanistan;defense;Pentagon;statement;missile;understanding;realignment;move;ministry;mental"
28768,0.101,0.352,6141,1,"Prince;Andrew;officers;defendant;Sepulveda;Giuffre;states;lawyers;royal;document"
28769,0.055,0.379,6142,1,"women;Taliban;Kabul;policies;wore;Islamists;young;pro-Taliban;Afghanistan;fighters"
28770,0.122,0.375,6143,0,"billion;per;euros;cent;Britain;trade;small;many;firms;customs"
28771,0.016,0.386,6144,2,"Belarusian;agreements;Belarus;countries;two;Putin;Lukashenko;political;sides;part"
28772,0.038,0.218,6145,0,"government;health;Buzyn;whether;pandemic;French;action;weeks;probe;pass"
28773,-0.007,0.232,6146,2,"next;naval;bases;Australian;would;region;presence;forces;country;active"
28774,0.230,0.498,6147,0,"homes;new;electric;parking;England;energy;current;could;home;chargers"
28775,0.115,0.544,6148,3,"extratropical;storm;hurricane;cyclone;Greenland;Atlantic;tropical;Larry;southeastern;across"
28776,0.042,0.365,6149,1,"Spain;Barcelona;independence;Catalonia;repression;separatist;regional;protests;political;nine"
28777,0.173,0.429,6150,0,"children;government;vaccines;young;vaccinate;island;Cuban;Cuba;would;vaccinating"
